quote,tags,link
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,"change,deep-thoughts,thinking,world",http://quotes.toscrape.com/author/Albert-Einstein
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","abilities,choices",http://quotes.toscrape.com/author/J-K-Rowling
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"inspirational,life,live,miracle,miracles",http://quotes.toscrape.com/author/Albert-Einstein
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","aliteracy,books,classic,humor",http://quotes.toscrape.com/author/Jane-Austen
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”","be-yourself,inspirational",http://quotes.toscrape.com/author/Marilyn-Monroe
“Try not to become a man of success. Rather become a man of value.”,"adulthood,success,value",http://quotes.toscrape.com/author/Albert-Einstein
“It is better to be hated for what you are than to be loved for what you are not.”,"life,love",http://quotes.toscrape.com/author/Andre-Gide
"“I have not failed. I've just found 10,000 ways that won't work.”","edison,failure,inspirational,paraphrased",http://quotes.toscrape.com/author/Thomas-A-Edison
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,misattributed-eleanor-roosevelt,http://quotes.toscrape.com/author/Eleanor-Roosevelt
"“A day without sunshine is like, you know, night.”","humor,obvious,simile",http://quotes.toscrape.com/author/Steve-Martin
