iter	Logloss
0	0.6893266496
1	0.6857330686
2	0.6826415289
3	0.679713113
4	0.6763629005
5	0.6732343038
6	0.6702216466
7	0.6671252478
8	0.664394197
9	0.6609179179
10	0.6575126648
11	0.6542711712
12	0.6512710935
13	0.6483969915
14	0.6454472315
15	0.6429921105
16	0.6399563381
17	0.6372395924
18	0.6347203028
19	0.6318639119
20	0.629406702
21	0.6269710632
22	0.6243564515
23	0.6213935216
24	0.6184428533
25	0.6158667065
26	0.6132685798
27	0.6108855747
28	0.6081344514
29	0.6061193375
30	0.6036615826
31	0.6009468351
32	0.598630996
33	0.5960681552
34	0.5939959571
35	0.5920048668
36	0.5894204094
37	0.5872810909
38	0.5848207928
39	0.5827092216
40	0.5810174942
41	0.5788155056
42	0.5768228258
43	0.5747811908
44	0.5726582209
45	0.570587022
46	0.5686227254
47	0.5671434857
48	0.5650703793
49	0.5632719767
50	0.5618563607
51	0.5600530079
52	0.557712237
53	0.5557498478
54	0.5540391831
55	0.5523395992
56	0.5504560925
57	0.5489142282
58	0.5474773135
59	0.5458642869
60	0.5439786457
61	0.5424020404
62	0.5409641266
63	0.5394396555
64	0.5379010155
65	0.5363805862
66	0.5350174677
67	0.5334711529
68	0.5317747025
69	0.5299738021
70	0.5286283947
71	0.5272200448
72	0.5254906246
73	0.5240968977
74	0.5223862784
75	0.5207153502
76	0.5193960099
77	0.5179173152
78	0.516437258
79	0.5150492532
80	0.5138611566
81	0.5119855063
82	0.5102227529
83	0.5088823863
84	0.5077350253
85	0.5061957041
86	0.5048410325
87	0.5036861783
88	0.5023794174
89	0.5012948172
90	0.5004191626
91	0.4992276146
92	0.4982356117
93	0.4971412477
94	0.4956918444
95	0.4947179159
96	0.4933806374
97	0.4922421773
98	0.4904736564
99	0.4892321995
100	0.4880061377
101	0.4868788492
102	0.4860633668
103	0.4849336715
104	0.4835466657
105	0.4826717377
106	0.4810496739
107	0.4801089877
108	0.4797652108
109	0.4788017727
110	0.4777248019
111	0.4764855703
112	0.4757225854
113	0.4748442968
114	0.4742331732
115	0.472992125
116	0.4719820931
117	0.4714403607
118	0.4704482669
119	0.4698736554
120	0.4688661666
121	0.4680621283
122	0.4671924228
123	0.4663438343
124	0.4652114142
125	0.4641457058
126	0.463319506
127	0.4622570219
128	0.461311522
129	0.4604521252
130	0.4594705672
131	0.4587020874
132	0.4575693948
133	0.4566761653
134	0.4555725824
135	0.4548679533
136	0.4540446599
137	0.4534470694
138	0.4528042475
139	0.451890128
140	0.451436179
141	0.4506801424
142	0.4500155676
143	0.4494076683
144	0.4484603519
145	0.447501455
146	0.4466576349
147	0.4458983739
148	0.4450174967
149	0.4441594169
150	0.4432442075
151	0.442658379
152	0.4418057941
153	0.441260247
154	0.4403585252
155	0.4399685178
156	0.4391624814
157	0.4384750639
158	0.438163939
159	0.4373569489
160	0.4366917383
161	0.4359595889
162	0.4350000109
163	0.4340449288
164	0.4332843962
165	0.4328195027
166	0.4321914855
167	0.4316435768
168	0.4310644695
169	0.430413564
170	0.4295884995
171	0.4289949962
172	0.4283579872
173	0.427840914
174	0.4275641668
175	0.4268114453
176	0.4262584505
177	0.4256718045
178	0.4247036888
179	0.4240619114
180	0.423680578
181	0.4228734062
182	0.4221369425
183	0.4213286354
184	0.420884087
185	0.4204326811
186	0.419746626
187	0.4195813679
188	0.4193476722
189	0.4189313253
190	0.4186703818
191	0.4183387756
192	0.417753038
193	0.4174170267
194	0.4167336055
195	0.4161481403
196	0.4152584076
197	0.4148224876
198	0.4143590019
199	0.4136706761
200	0.4129551933
201	0.4123711359
202	0.4118297214
203	0.4113938468
204	0.4107760475
205	0.4105002994
206	0.4099875859
207	0.4096411296
208	0.4092089335
209	0.4087684722
210	0.4078841436
211	0.4074086689
