,nov,sahe,otaq,kupca,qiymet,elani_yerlesdiren,baxis_sayi,Adres_1,Adres_2,Adres_3,Adres_4,Adres_5,Adres_6,Adres_7,Adres_8,Adres_9,Adres_10,min_mertebe,max_mertebe,ID
0,Yeni tikili,130,3,var,235000,mülkiyyətçi,7101,Cavanşir körpüsü,Nəsimi r.,,,,,,,,,16,19,0
1,Yeni tikili,164,3,var,237000,mülkiyyətçi,290,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,4,21,1
2,Yeni tikili,80,2,var,55400,mülkiyyətçi,8426,Abşeron r.,,,,,,,,,,3,12,2
3,Yeni tikili,115,3,var,210000,mülkiyyətçi,9706,İnşaatçılar m.,Yasamal r.,Yasamal q.,,,,,,,,17,19,3
4,Köhnə tikili,60,2,var,82000,vasitəçi (agent),131,Sabunçu r.,Bakıxanov q.,,,,,,,,,9,9,4
5,Yeni tikili,103,2,yoxdur,107000,mülkiyyətçi,5398,Azadlıq Prospekti m.,Nəsimi r.,,,,,,,,,11,16,5
6,Yeni tikili,131,3,var,220000,vasitəçi (agent),165,Dövlət Statistika Komitəsi,Nizami m.,İncəsənət və Mədəniyyət Un.,Yasamal r.,,,,,,,3,18,6
7,Yeni tikili,51,2,yoxdur,72000,vasitəçi (agent),120,Yasamal r.,Yeni Yasamal q.,,,,,,,,,5,12,7
8,Yeni tikili,176,4,var,250000,vasitəçi (agent),154,Rəssamlıq Akademiyası,Montin bazarı,Nərimanov r.,,,,,,,,14,16,8
9,Yeni tikili,140,3,yoxdur,250000,mülkiyyətçi,675,Nərimanov r.,,,,,,,,,,6,14,9
10,Yeni tikili,140,3,var,255000,vasitəçi (agent),2808,Təhsil Nazirliyi,,,,,,,,,,5,16,10
11,Yeni tikili,140,3,var,330000,vasitəçi (agent),1544,Nəsimi bazarı,TQDK,Nəsimi r.,,,,,,,,15,17,11
12,Köhnə tikili,45,2,var,38000,vasitəçi (agent),617,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,8,9,12
13,Yeni tikili,100,3,var,205000,vasitəçi (agent),281,Rəssamlıq Akademiyası,Nəriman Nərimanov parkı,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,8,9,13
14,Köhnə tikili,100,5,var,173000,vasitəçi (agent),304,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,6,9,14
15,Yeni tikili,169,4,var,450000,vasitəçi (agent),370,Neft Akademiyası,28 May m.,Səməd Vurğun parkı,Pedaqoji Universiteti,Bakı Musiqi Akademiyası,Milli Konservatoriya,Nəsimi r.,,,,6,23,15
16,Yeni tikili,120,3,var,360000,vasitəçi (agent),83,Tibb Universiteti,Park Zorge,Nəsimi r.,,,,,,,,9,14,16
17,Yeni tikili,153,3,yoxdur,125000,mülkiyyətçi,6281,Tibb Universiteti,Nərimanov r.,,,,,,,,,16,20,17
18,Köhnə tikili,110,4,var,125000,mülkiyyətçi,5293,Yasamal r.,Yeni Yasamal q.,,,,,,,,,2,9,18
19,Köhnə tikili,33,1,var,48000,vasitəçi (agent),539,Memar Əcəmi m.,Nəsimi r.,,,,,,,,,5,5,19
20,Yeni tikili,70,2,var,95000,vasitəçi (agent),193,Həzi Aslanov m.,Xətai r.,Əhmədli q.,,,,,,,,12,17,20
21,Yeni tikili,140,3,var,118500,vasitəçi (agent),540,Ayna Sultanova heykəli,Nərimanov r.,,,,,,,,,15,19,21
22,Yeni tikili,111,3,yoxdur,111000,vasitəçi (agent),1030,Nizami r.,,,,,,,,,,11,16,22
23,Köhnə tikili,55,2,var,71000,vasitəçi (agent),403,Suraxanı r.,Yeni Günəşli q.,,,,,,,,,3,9,23
