Qiymet,sign,Sheher,Marka,Model,Buraxilish_ili,Ban_novu,Reng,Muherrik_hecm,Muherrik_guc,Yanacaq_novu,Yurush,Suret_qutusu,Oturucu,Yeni,barter_mumkundurmu
40000,$,Bakı,Lexus,LX 570,2008,Offroader / SUV,Ağ,5.7,383,Benzin,132000,Avtomat,Tam,Xeyr,Bəli
225500,$,Bakı,Mercedes-Maybach,S 500,2018,Sedan,Qara,4.7,475,Benzin,0,Avtomat,Arxa,Bəli,Bəli
69000,€,Bakı,BMW,X5,2018,Offroader / SUV,Qara,3,340,Benzin,0,Avtomat,Tam,Bəli,Xeyr
23900,AZN,Bakı,Kia,Cerato,2014,Sedan,Ağ,1.6,136,Dizel,99000,Avtomat,Ön,Xeyr,Bəli
159000,$,Bakı,Bentley,Continental,2015,Kupe,Boz,5.7,630,Benzin,11000,Avtomat,Tam,Xeyr,Xeyr
25000,$,Bakı,Hyundai,Sonata,2017,Sedan,Ağ,2,245,Benzin,5400,Avtomat,Ön,Xeyr,Xeyr
58000,$,Bakı,Mercedes,Viano,2013,Van,Qara,3.5,278,Benzin,28970,Avtomat,Arxa,Xeyr,Bəli
20500,AZN,Bakı,Hyundai,Sonata,2012,Sedan,Qara,2,165,Qaz,232000,Avtomat,Ön,Xeyr,Xeyr
18500,AZN,Bakı,Mercedes,S 500,1992,Sedan,Qara,5,326,Benzin,217000,Avtomat,Arxa,Xeyr,Xeyr
99999,$,Bakı,Porsche,Panamera,2017,Hetçbek / Liftbek,Boz,3,330,Benzin,15000,Avtomat,Tam,Xeyr,Xeyr
19999,$,Bakı,Mercedes,S 350,2006,Sedan,Qara,3.5,272,Benzin,71000,Avtomat,Arxa,Xeyr,Xeyr
9500,AZN,Bakı,LADA (VAZ),Granta,2013,Sedan,Ağ,1.6,82,Benzin,151000,Mexaniki,Ön,Xeyr,Xeyr
2600,AZN,Bakı,LADA (VAZ),2106,1983,Sedan,Yaşıl,1.5,65,Benzin,200000,Mexaniki,Arxa,Xeyr,Xeyr
8700,AZN,Bakı,Mercedes,C 230,1997,Sedan,Ağ,2.3,150,Benzin,309000,Avtomat,Arxa,Xeyr,Bəli
51000,AZN,Bakı,Mercedes,S 63 AMG,2008,Sedan,Qara,6.3,525,Benzin,75000,Avtomat,Arxa,Xeyr,Xeyr
7000,AZN,Qəbələ,LADA (VAZ),2107,2008,Sedan,Ağ,1.6,75,Benzin,65000,Mexaniki,Arxa,Xeyr,Xeyr
5200,AZN,Bakı,LADA (VAZ),2109,1989,Hetçbek / Liftbek,Qırmızı,1.5,65,Benzin,185000,Mexaniki,Ön,Xeyr,Bəli
23800,AZN,Bakı,Mercedes,E 220,2006,Sedan,Qara,2.2,170,Dizel,259000,Avtomat,Arxa,Xeyr,Xeyr
14700,AZN,Bakı,Renault,Megane Scenic,2008,Minivan,Ağ,1.5,90,Dizel,230230,Mexaniki,Ön,Xeyr,Xeyr
11800,AZN,Bakı,Great Wall,Voleex C30,2014,Sedan,Gümüşü,1.5,106,Benzin,155140,Mexaniki,Ön,Xeyr,Xeyr
4300,AZN,Bakı,Daewoo,Nexia,1997,Sedan,Ağ,1.5,80,Benzin,200000,Mexaniki,Ön,Xeyr,Xeyr
