checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,installment_commitment,residence_since,age,existing_credits,duration,credit_amount,num_dependents,class
no checking,existing paid,used car,no known savings,unemployed,female div/dep/mar,none,life insurance,none,rent,high qualif/self emp/mgmt,yes,yes,2,4,26,1,24,5433,1,good
0<=X<200,delayed previously,new car,100<=X<500,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,2,4,42,4,36,8086,1,bad
no checking,existing paid,radio/tv,500<=X<1000,4<=X<7,female div/dep/mar,none,car,none,own,skilled,none,yes,4,1,28,1,24,1376,1,good
no checking,existing paid,furniture/equipment,500<=X<1000,>=7,male single,none,life insurance,none,own,skilled,none,yes,3,4,53,1,24,2835,1,good
<0,critical/other existing credit,new car,<100,1<=X<4,male single,none,life insurance,bank,own,unskilled resident,none,no,4,4,38,2,12,2171,1,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes,3,2,31,1,48,6758,1,bad
0<=X<200,existing paid,used car,<100,<1,male single,none,car,none,own,skilled,none,yes,2,3,30,2,26,7966,1,good
<0,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,rent,high qualif/self emp/mgmt,yes,yes,2,2,20,1,12,1107,2,good
0<=X<200,existing paid,radio/tv,<100,4<=X<7,male single,none,car,none,rent,skilled,none,yes,4,4,24,1,36,2323,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,bank,own,unskilled resident,yes,yes,1,2,36,1,6,1374,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male div/sep,none,car,none,own,skilled,none,yes,2,1,42,1,12,2577,1,good
0<=X<200,delayed previously,business,<100,1<=X<4,male div/sep,none,real estate,stores,own,high qualif/self emp/mgmt,yes,yes,2,2,30,2,36,4455,1,bad
<0,all paid,new car,<100,4<=X<7,male single,none,no known property,none,for free,unskilled resident,none,yes,4,4,32,2,18,1442,2,bad
0<=X<200,existing paid,new car,<100,1<=X<4,male mar/wid,none,real estate,none,rent,unskilled resident,none,yes,4,4,22,1,9,276,1,good
no checking,critical/other existing credit,radio/tv,500<=X<1000,>=7,male single,none,life insurance,none,own,skilled,yes,yes,4,4,42,2,12,522,2,good
no checking,existing paid,new car,100<=X<500,1<=X<4,male single,guarantor,real estate,none,rent,skilled,none,no,1,2,26,1,9,3577,2,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,real estate,none,rent,skilled,none,yes,4,2,26,1,9,1388,1,good
<0,existing paid,new car,<100,unemployed,male single,none,no known property,none,for free,skilled,none,yes,1,4,22,1,14,3973,1,good
no checking,delayed previously,business,no known savings,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,4,4,32,2,24,2978,2,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,none,car,stores,own,skilled,none,yes,2,2,27,1,24,4020,1,good
0<=X<200,delayed previously,new car,100<=X<500,>=7,male single,none,no known property,none,for free,skilled,none,yes,4,3,30,1,36,2862,1,good
no checking,existing paid,education,no known savings,>=7,male single,none,real estate,none,own,unskilled resident,none,yes,1,4,64,1,9,3832,1,good
<0,no credits/all paid,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,rent,skilled,none,yes,1,4,26,1,18,3114,1,bad
no checking,existing paid,education,100<=X<500,1<=X<4,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,3,2,40,1,15,4623,1,bad
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,female div/dep/mar,none,car,none,rent,skilled,yes,yes,1,2,24,2,6,1554,1,good
<0,no credits/all paid,business,no known savings,<1,male single,none,car,bank,own,skilled,none,yes,2,3,25,3,30,8072,1,good
<0,existing paid,new car,<100,<1,female div/dep/mar,none,car,none,own,skilled,yes,yes,4,4,34,1,36,1842,1,bad
no checking,existing paid,repairs,500<=X<1000,4<=X<7,male mar/wid,none,real estate,none,rent,unskilled resident,none,yes,2,4,23,1,6,660,1,good
<0,existing paid,new car,no known savings,1<=X<4,female div/dep/mar,none,real estate,none,rent,skilled,none,yes,4,4,25,1,24,1371,1,bad
0<=X<200,critical/other existing credit,new car,<100,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,yes,2,3,47,2,12,958,2,good
no checking,existing paid,new car,<100,1<=X<4,female div/dep/mar,none,real estate,none,rent,skilled,none,yes,3,3,21,1,27,2570,1,bad
no checking,critical/other existing credit,new car,>=1000,>=7,male single,none,real estate,none,own,skilled,yes,yes,4,4,60,1,24,1940,1,good
0<=X<200,existing paid,new car,100<=X<500,<1,female div/dep/mar,none,life insurance,none,own,high qualif/self emp/mgmt,none,yes,4,2,24,1,60,7408,1,bad
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid,none,real estate,none,own,unskilled resident,none,no,3,3,26,1,6,590,1,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,>=7,male single,none,no known property,none,own,skilled,yes,yes,2,1,41,1,18,6361,1,good
0<=X<200,no credits/all paid,retraining,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,yes,yes,2,2,31,1,12,1410,1,good
no checking,existing paid,retraining,no known savings,4<=X<7,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes,4,3,40,1,10,894,1,good
<0,critical/other existing credit,furniture/equipment,<100,>=7,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,1,4,24,2,20,4272,1,good
no checking,critical/other existing credit,education,100<=X<500,1<=X<4,female div/dep/mar,none,car,none,own,skilled,none,yes,4,3,31,1,15,1532,1,good
no checking,critical/other existing credit,new car,>=1000,>=7,female div/dep/mar,none,real estate,none,own,skilled,yes,yes,4,4,37,2,24,1287,1,good
<0,existing paid,new car,<100,4<=X<7,female div/dep/mar,none,car,none,rent,skilled,none,yes,4,4,23,2,24,1442,1,bad
<0,existing paid,new car,<100,<1,female div/dep/mar,none,real estate,none,own,unskilled resident,none,yes,3,1,37,1,12,1274,1,bad
0<=X<200,all paid,new car,100<=X<500,<1,female div/dep/mar,none,life insurance,stores,own,unskilled resident,none,yes,1,1,32,1,6,931,1,bad
<0,existing paid,furniture/equipment,<100,>=7,female div/dep/mar,none,life insurance,bank,own,skilled,yes,yes,2,1,49,1,6,428,1,good
no checking,existing paid,business,<100,unemployed,male single,none,car,bank,rent,high qualif/self emp/mgmt,yes,yes,3,2,33,1,48,4844,1,bad
>=200,existing paid,furniture/equipment,<100,>=7,male div/sep,none,no known property,none,for free,skilled,none,yes,3,4,51,1,24,2892,1,good
no checking,existing paid,business,<100,4<=X<7,male single,none,car,none,own,skilled,yes,yes,2,4,36,1,12,1542,1,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,no known property,none,for free,skilled,yes,yes,4,4,35,2,15,1471,1,good
no checking,existing paid,used car,>=1000,1<=X<4,female div/dep/mar,none,car,none,rent,skilled,yes,yes,2,4,28,1,24,2603,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,2,2,22,1,18,2462,1,bad
<0,critical/other existing credit,used car,<100,4<=X<7,male single,none,car,none,own,skilled,yes,yes,4,4,24,2,36,9629,1,bad
no checking,critical/other existing credit,education,no known savings,>=7,female div/dep/mar,none,life insurance,none,rent,unskilled resident,none,yes,4,4,41,2,9,1244,1,good
no checking,existing paid,radio/tv,no known savings,>=7,female div/dep/mar,none,real estate,none,own,unskilled resident,yes,yes,2,4,45,1,36,3835,1,good
0<=X<200,all paid,business,<100,>=7,female div/dep/mar,none,no known property,none,rent,skilled,none,yes,4,3,59,1,48,6416,1,bad
no checking,existing paid,radio/tv,<100,4<=X<7,male mar/wid,none,real estate,none,rent,skilled,none,yes,2,2,29,1,6,2108,1,good
no checking,existing paid,new car,<100,>=7,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,2,4,42,1,60,10366,1,good
no checking,critical/other existing credit,radio/tv,500<=X<1000,1<=X<4,male mar/wid,none,life insurance,none,own,unskilled resident,none,yes,2,2,47,2,15,1316,1,good
no checking,critical/other existing credit,used car,<100,>=7,male single,none,life insurance,none,own,skilled,yes,yes,2,2,35,2,36,5842,2,good
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,male single,none,life insurance,none,own,unskilled resident,none,yes,4,2,48,2,24,1743,1,good
no checking,existing paid,radio/tv,100<=X<500,1<=X<4,male single,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,4,4,29,1,24,1901,1,good
no checking,existing paid,radio/tv,100<=X<500,>=7,male single,co applicant,car,none,own,skilled,yes,yes,3,4,35,1,9,2753,1,good
<0,existing paid,new car,<100,4<=X<7,male single,none,no known property,none,for free,skilled,none,yes,4,4,46,1,48,3931,2,bad
<0,existing paid,education,no known savings,1<=X<4,female div/dep/mar,none,life insurance,bank,rent,skilled,yes,yes,4,4,23,1,12,1200,1,good
<0,critical/other existing credit,new car,<100,4<=X<7,male single,co applicant,life insurance,none,own,skilled,yes,yes,4,3,49,2,10,1038,1,good
0<=X<200,delayed previously,furniture/equipment,<100,unemployed,male single,none,life insurance,stores,own,high qualif/self emp/mgmt,yes,yes,4,1,35,2,6,1050,1,good
0<=X<200,existing paid,repairs,100<=X<500,1<=X<4,male single,guarantor,real estate,none,own,skilled,none,yes,4,2,22,1,15,1514,1,good
<0,existing paid,radio/tv,<100,<1,female div/dep/mar,none,life insurance,none,rent,skilled,none,yes,3,4,22,1,9,1366,1,bad
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes,4,2,33,1,30,2831,1,good
<0,existing paid,radio/tv,<100,4<=X<7,female div/dep/mar,guarantor,real estate,none,own,skilled,none,yes,4,1,25,1,18,3509,1,good
no checking,delayed previously,new car,<100,>=7,male single,none,no known property,none,for free,skilled,yes,yes,4,4,60,2,24,2032,1,good
0<=X<200,existing paid,furniture/equipment,<100,<1,male mar/wid,none,life insurance,none,own,skilled,none,yes,2,1,22,1,30,3832,1,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,4,2,35,2,24,2684,1,good
no checking,delayed previously,used car,>=1000,1<=X<4,male single,none,car,none,own,skilled,none,yes,2,2,27,2,27,8613,1,good
<0,existing paid,business,<100,1<=X<4,male mar/wid,none,car,stores,own,unskilled resident,none,yes,2,2,21,1,24,6568,1,good
no checking,existing paid,new car,no known savings,1<=X<4,male single,none,no known property,none,for free,skilled,yes,yes,4,4,34,1,60,6527,2,good
<0,existing paid,new car,no known savings,4<=X<7,male single,co applicant,real estate,none,own,unskilled resident,none,no,2,2,24,1,21,3763,1,good
no checking,critical/other existing credit,radio/tv,<100,<1,male mar/wid,none,no known property,none,for free,skilled,yes,yes,3,3,47,3,24,5103,1,good
>=200,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,2,2,26,1,24,1925,1,good
<0,all paid,furniture/equipment,<100,4<=X<7,male single,none,car,bank,own,skilled,none,yes,3,4,27,1,24,3552,1,bad
no checking,existing paid,radio/tv,no known savings,<1,female div/dep/mar,none,real estate,none,rent,skilled,yes,yes,4,2,21,1,18,1126,1,good
no checking,critical/other existing credit,new car,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,3,1,30,2,9,1224,1,good
>=200,all paid,radio/tv,>=1000,1<=X<4,female div/dep/mar,none,real estate,none,rent,skilled,none,yes,3,3,42,2,12,409,1,good
0<=X<200,existing paid,new car,no known savings,unemployed,male single,none,life insurance,none,own,unemp/unskilled non res,yes,yes,1,2,23,1,6,14555,1,bad
no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,car,none,own,skilled,none,yes,4,4,35,2,12,976,1,good
<0,existing paid,radio/tv,100<=X<500,1<=X<4,female div/dep/mar,none,car,none,own,unskilled resident,none,yes,4,2,32,1,24,1282,1,bad
